Log;Identified communities;Ground_truth_clusters;PCCR;Q;ARI;FMS;NMI
BPI2015_all_1.xes;9;17;12.532979021204536;0.6217931089546298;0.22678672196044697;0.3436846611508967;0.5538396428675708
BPI2015_all_2.xes;10;19;13.677404746885044;0.620693828561934;0.24501473348413663;0.349095047386222;0.5385099057485441
BPI2015_all_3.xes;10;18;6.069593028534112;0.6243560395019052;0.21810478918584209;0.3313405845898898;0.5383350378735355
BPI2015_all_4.xes;11;19;9.129592700711127;0.6079255722363238;0.1955775354271224;0.3043238349931039;0.5082108573345052
BPI2015_all_5.xes;10;19;7.0048747402063505;0.6103769190105767;0.24822664453125828;0.35620007292804384;0.5467790195597361
BPI2015_main_1.xes;8;9;2.9638319395379207;0.6084139538285233;0.0924926670272285;0.26311681673634135;0.2509388978875089
BPI2015_main_2.xes;6;9;3.682860245692063;0.6049398469477678;0.10362548905035976;0.27805908221038533;0.26350621893005843
BPI2015_main_3.xes;7;9;2.921437309327101;0.6389435233413654;0.0728965843992215;0.2486955750671992;0.20146720945094598
BPI2015_main_4.xes;9;9;4.742525207590155;0.589854463537417;0.07998771946108425;0.23266639103092893;0.2515513462128932
BPI2015_main_5.xes;6;9;5.122238477199352;0.5906736617549619;0.10608177642093597;0.2759218983906738;0.26104270965431664
BPI2020_DomesticDeclarations.xes;2;7;4.6706586826347305;0.2730235770425147;0.058544303797468354;0.3065696697424829;0.30486435896232905
BPI2020_InternationalDeclarations.xes;3;8;4.4126438911059145;0.43664186671829636;0.01975806451612903;0.21650635094610965;0.21677389580893477
BPI2020_PermitLog.xes;5;8;1.037564003554814;0.45997920511807344;-0.007079830593906248;0.1762597362994423;0.17313760664468061
BPI2020_PrepaidTravelCost.xes;4;8;2.6736160278011645;0.39575058390217427;-0.03031453923971964;0.1582513136149889;0.24214857585864194
BPI2020_RequestForPayment.xes;3;8;4.361960362574896;0.285152880350625;0.08342495876855414;0.3156801850587938;0.43101154179166534
