Log;Identified communities;Ground_truth_clusters;PCCR Identified ;PCCR Truth;Q;ARI;FMS;NMI
BPI2015_all_1.xes;9;17;12.532979021204536;6.61712221570435;0.6217931089546298;0.22678672196044697;0.3436846611508967;0.5538396428675708
BPI2015_all_2.xes;10;19;13.677404746885044;10.162580015209628;0.620693828561934;0.24501473348413663;0.349095047386222;0.5385099057485441
BPI2015_all_3.xes;10;18;6.069593028534112;7.023409511463161;0.6243560395019052;0.21810478918584209;0.3313405845898898;0.5383350378735355
BPI2015_all_4.xes;11;19;9.129592700711127;4.15958349286857;0.6079255722363238;0.1955775354271224;0.3043238349931039;0.5082108573345052
BPI2015_all_5.xes;10;19;7.0048747402063505;5.935189205285342;0.6103769190105767;0.24822664453125828;0.35620007292804384;0.5467790195597361
BPI2015_main_1.xes;8;9;2.9638319395379207;6.023399340237793;0.6084139538285233;0.0924926670272285;0.26311681673634135;0.2509388978875089
BPI2015_main_2.xes;6;9;3.682860245692063;5.004741218660361;0.6049398469477678;0.10362548905035976;0.27805908221038533;0.26350621893005843
BPI2015_main_3.xes;7;9;2.921437309327101;4.798615279060678;0.6389435233413654;0.0728965843992215;0.2486955750671992;0.20146720945094598
BPI2015_main_4.xes;9;9;4.742525207590155;5.719277333710347;0.589854463537417;0.07998771946108425;0.23266639103092893;0.2515513462128932
BPI2015_main_5.xes;6;9;5.122238477199352;4.950029329358311;0.5906736617549619;0.10608177642093597;0.2759218983906738;0.26104270965431664
BPI2017.xes;7;3;1.731958762886598;3.1160947643537646;0.6334363058940113;-0.02296477224082794;0.21274790016365677;0.1674200749759053
BPI2020_DomesticDeclarations.xes;2;7;4.6706586826347305;3.599999999999999;0.2730235770425147;0.058544303797468354;0.3065696697424829;0.30486435896232905
BPI2020_InternationalDeclarations.xes;3;8;4.4126438911059145;2.1717625899280577;0.43664186671829636;0.01975806451612903;0.21650635094610965;0.21677389580893477
BPI2020_PermitLog.xes;5;8;1.037564003554814;1.2435222003703652;0.45997920511807344;-0.007079830593906248;0.1762597362994423;0.17313760664468061
BPI2020_PrepaidTravelCost.xes;4;8;2.6736160278011645;1.2068965517241381;0.39575058390217427;-0.03031453923971964;0.1582513136149889;0.24214857585864194
BPI2020_RequestForPayment.xes;3;8;4.361960362574896;4.114285714285715;0.285152880350625;0.08342495876855414;0.3156801850587938;0.43101154179166534
